Name,Team,MLBID,FanGraphs ID,BRef ID,Manager,Rd
Kenta Maeda,MIN,628317,18498,maedake01,Scott,20
Jhoan Duran,MIN,661395,21029,duranjh01,??,??
Spencer Turnbull,DET,605513,16207,turnbsp01,Paula,22
Felix Bautista,BAL,642585,20666,bautife01,Justin,16
Zach Plesac,CLE,668676,19979,plesaza01,Paula,25
Ryan Pressly,HOU,519151,7005,pressry01,John,14
Andres Munoz,SEA,662253,20373,munozan01,Rich,16
Domingo Germán,NYY,593334,17149,germado01,Jeff,21
Clarke Schmidt,NYY,657376,19899,schmicl01,Evans,12
Zack Greinke,KCR,425844,1943,greinza01,Myron,21
Clay Holmes,NYY,605280,13649,holmecl01,Paula,14
Scott Barlow,KCR,605130,14993,barlosc01,Myron,13
Ken Waldichuk,OAK,686610,27681,waldike01,Jeff,22
Brayan Bello,BOS,678394,23920,bellobr01,Scott,23
Matt Manning,DET,666159,20369,mannima02,Rich,22
Shintaro Fujinami,OAK,660261,31839,fujinsh01,Rich,13
Pete Fairbanks,TBR,664126,17998,fairbpe01,Paula,15
Tanner Houck,BOS,656557,19879,houckta01,John,25
Jordan Lyles,KCR,543475,7593,lylesjo01,Ron,25
Alex Lange,DET,656638,19883,langeal01,Rich,26
Paul Sewald,SEA,623149,13892,sewalpa01,Andrew,20
Jason Adam,TBR,592094,11861,adamja01,Ron,26
Yusei Kikuchi,TOR,579328,20633,kikucyu01,Ron,21
Kenley Jansen,BOS,445276,3096,janseke01,Andrew,24
Brock Burke,TEX,656271,17968,burkebr01,Andrew,26
Brad Keller,KCR,641745,15734,kellebr01,Myron,26
Bailey Ober,MIN,641927,21224,oberba01,Evans,22
Kendall Graveman,CHW,608665,15514,graveke01,Rich,25
Chris Flexen,SEA,623167,13896,flexech01,Scott,15
Michael King,NYY,650633,19853,kingmi01,Evans,21
Mike Clevinger,CHW,605182,12808,clevimi01,John,12
Tyler Wells,BAL,669330,20000,wellsty01,Jeff,25
Rafael Montero,HOU,606160,12760,montera01,John,26
Jorge Lopez,MIN,605347,14527,lopezjo02,Rich,24
Jose Leclerc,TEX,600917,14524,leclejo01,Scott,24
Ryne Stanek,HOU,592773,15947,stanery01,Ron,17
Adam Oller,OAK,670124,20132,ollerad01,Myron,22
James Kaprielian,OAK,621076,18331,kaprija01,Jeff,
Adam Cimber,TOR,643256,15288,cimbead01,Scott,
