Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,FanGraphs ID,Proj Rtg,Mgr,Rd
Rafael Montero,SEA,3,3,4.01,0,63,24,63,56,28,9,70,24,1.26,10.05,3.39,4.17,0.5,0.5,174.5,12760,39.0,Jeff,21
Tanner Scott,BAL,3,3,3.58,0,65,7,65,53,26,7,77,33,1.33,10.71,4.59,3.94,0.7,1,446.4,17586,38.5,Andrew,27
Aaron Bummer,CHW,3,3,3.3,0,62,3,62,54,23,6,68,26,1.29,9.94,3.79,3.58,0.8,0.9,542.6,16258,38.4,Paula,21
Shohei Ohtani,LAA,6,6,4.62,18,18,0,97,90,50,16,101,47,1.42,9.36,4.38,4.81,0.9,1.2,166.2,19755,37.9,Scott,11
Cristian Javier,HOU,6,7,4.92,19,19,0,109,100,59,21,116,53,1.4,9.63,4.38,5.15,0.8,0.8,239.1,17606,36.8,Scott,17
Jordan Romano,TOR,3,3,3.96,0,60,18,60,53,26,8,66,23,1.27,9.85,3.45,4.14,0.5,0.6,369,16122,36.1,Rich,22
Emmanuel Clase,CLE,3,3,3.58,0,60,6,60,53,24,7,68,23,1.26,10.18,3.43,3.65,0.7,0.8,488.7,21032,36.0,Andrew,29
Mike Fiers,OAK,7,11,5.32,26,26,0,146,161,86,29,101,45,1.42,6.21,2.81,5.5,0.5,0.3,582,7754,36.0,John,27
Josh Staumont,KCR,3,3,4.09,0,63,10,63,52,29,8,77,36,1.4,11.03,5.13,4.22,0.5,0.6,518,18335,33.1,John,25
Jonathan Loaisiga,NYY,3,3,3.81,0,60,0,60,52,25,8,70,22,1.24,10.46,3.31,3.91,0.6,0.7,590.9,19753,32.1,Scott,22
Alex Colome,MIN,3,3,4.51,0,65,20,65,66,33,9,58,25,1.4,7.97,3.53,4.6,0.1,0.3,167.8,6661,31.9,Jeff,17
Tyler Duffey,MIN,3,3,4,0,62,2,62,58,28,9,66,21,1.27,9.56,3.06,4.09,0.4,0.6,575.8,13758,31.3,John,21
Jordan Lyles,TEX,6,10,5.48,21,44,0,138,152,84,27,111,53,1.49,7.28,3.47,5.43,0.7,0.9,599.8,7593,30.3,Jeff,26
Nick Wittgren,CLE,3,3,4.5,0,66,7,66,64,33,11,66,24,1.33,9.02,3.23,4.58,0.1,0.3,458,15594,28.9,Rich,28
J.B. Wendelken,OAK,3,3,4.08,0,59,0,59,53,27,8,61,25,1.32,9.35,3.78,4.29,0.3,0.3,582.5,14506,27.9,Paula,16
Evan Marshall,CHW,3,3,4.11,0,60,0,60,58,27,8,58,24,1.36,8.77,3.55,4.28,0.3,0.3,599.2,12297,27.8,Paula,28
Greg Holland,KCR,3,3,4.57,0,58,16,58,55,29,8,57,29,1.46,8.91,4.56,4.65,0.1,0.2,219.9,7196,27.5,Paula,25
Mike Foltynewicz,TEX,6,10,5.54,23,23,0,128,141,79,26,103,51,1.49,7.19,3.57,5.58,0.9,0.9,546.5,10811,27.1,Evans,25
Jaime Barria,LAA,3,3,4.71,3,41,0,56,55,29,11,53,17,1.31,8.53,2.81,4.91,0.2,0.2,598.4,18356,21.1,Scott,27
Jorge Alcala,MIN,2,2,4.46,0,45,0,45,42,22,7,46,20,1.37,9.2,3.92,4.66,0.2,0.2,600.8,19459,18.1,Scott,18
Julio Teheran,DET,4,9,5.97,19,19,0,102,113,68,22,77,48,1.58,6.81,4.26,6.03,0,-0.1,577.9,6797,12.5,Rich,27
