Name,Team,Pos,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,WAR,ADP,FanGraphs ID,Proj,Mgr,Rd
Leury Garcia,CHW,2B/OF,86,371,338,88,15,2,6,42,36,23,79,3,6,2,0.259,0.311,0.371,0.682,0.298,0.7,555.9,5913,40.7,John,21
Brandon Marsh,LAA,OF,91,392,350,86,16,3,8,41,34,35,117,3,7,2,0.245,0.317,0.375,0.693,0.303,0.9,440.9,20202,38.6,Paula,19
Kyle Lewis,SEA,OF,76,329,294,70,13,0,12,38,38,31,96,2,3,1,0.239,0.313,0.407,0.719,0.312,0.7,454.5,19508,38.1,Myron,21
Santiago Espinal,TOR,3B,79,343,312,81,16,1,5,38,31,25,54,2,6,3,0.259,0.316,0.367,0.684,0.299,0.8,574.4,19997,36.2,Jeff,23
Kyle Higashioka,NYY,C,75,294,270,57,12,0,14,33,42,19,79,2,1,0,0.213,0.268,0.416,0.684,0.292,1.4,542.3,5517,36.0,Scott,14
Eric Haase,DET,C/OF,70,287,261,57,10,1,13,34,39,20,93,2,1,0,0.218,0.278,0.410,0.688,0.295,0.4,319.8,14111,35.3,Scott,18
Nick Solak,TEX,2B,68,294,264,68,12,1,8,35,33,22,61,5,4,2,0.258,0.326,0.402,0.727,0.317,0.6,515.7,19294,35.2,Rich,23
Chas McCormick,HOU,OF,63,273,241,57,9,1,9,32,32,25,73,3,5,2,0.236,0.312,0.393,0.706,0.307,0.8,518.8,19599,32.4,Ron,19
Matt Duffy,LAA,2B/3B,62,266,236,64,11,0,4,30,24,22,50,4,4,2,0.269,0.341,0.366,0.707,0.313,0.7,586.3,13836,28.5,Jeff,20
Dylan Moore,SEA,2B/OF,55,238,209,44,9,1,8,27,26,22,67,5,12,4,0.209,0.296,0.373,0.669,0.294,0.5,533.8,18042,27.5,Myron,24
Christian Arroyo,BOS,2B,49,210,191,48,11,1,7,25,26,12,49,4,2,0,0.249,0.307,0.421,0.728,0.314,0.5,596.4,16434,25.9,Evans,20
Aledmys Diaz,HOU,,42,182,165,41,9,0,5,20,23,11,33,3,1,0,0.251,0.310,0.406,0.716,0.308,0.5,581.1,15937,21.7,Ron,23
Luis Torrens,SEA,,45,188,170,40,8,1,6,20,23,14,47,1,0,0,0.234,0.295,0.405,0.700,0.301,0.3,459.7,15905,21.0,Andrew,23
Abraham Toro,SEA,,34,147,130,32,7,0,5,18,17,13,25,3,2,1,0.249,0.328,0.412,0.740,0.322,0.6,379.2,19844,17.9,Ron,20
Bradley Zimmer,CLE,,36,154,134,29,5,0,4,18,15,13,54,5,5,2,0.220,0.313,0.349,0.662,0.295,0.3,527.9,16221,16.8,Jeff,24
Marwin Gonzalez,NYY,,23,98,88,21,4,0,3,10,11,7,23,2,1,0,0.233,0.300,0.369,0.669,0.293,0.1,600.4,5497,10.5,Ron,18
Willi Castro,DET,,15,63,58,15,3,1,1,7,6,3,14,1,1,0,0.252,0.301,0.400,0.700,0.302,0.1,577,17338,6.7,Myron,23
Miguel Andujar,NYY,,10,42,39,10,2,0,2,5,5,2,7,0,0,0,0.267,0.306,0.461,0.766,0.326,0.1,598.1,15878,5.1,Evans,24
Cedric Mullins,BAL,OF,152,658,589,154,30,5,24,87,67,53,124,7,26,7,0.261,0.327,0.454,0.780,0.333,3.5,33.2,17929,83.3,Myron,5
Christian Vazquez,BOS,C,94,371,341,87,17,1,9,40,39,24,68,2,5,3,0.256,0.308,0.387,0.694,0.301,1.6,202.3,9774,40.8,Ron,14
J.P. Crawford,SEA,SS,154,665,591,153,32,2,12,81,59,60,118,6,7,4,0.258,0.331,0.382,0.713,0.313,3.0,484.6,15491,72.2,Ron,15
Tyler Wade,LAA,SS/3B/OF,53,231,206,47,9,2,3,28,18,20,56,2,13,4,0.227,0.302,0.334,0.636,0.281,0.3,522.7,15730,24.8,Ron,25
Jackie Bradley Jr.,BOS,OF,104,448,399,87,22,3,11,50,45,36,124,8,7,2,0.218,0.293,0.365,0.658,0.288,0.3,588.5,12984,46.8,Scott,23
